id_inv_nb,id_inv_dt,id_custmr_id,id_sku_nb,id_catgry_nm,id_sold_qy,id_price_am,id_tax_am,id_subtotal_am
2,2016-12-24 23:22:36,tleen@usgs.gov,1255,Electronics,2,54.52,9.0,63.52
19,2016-11-11 01:11:15,tfields1a@blinklist.com,1147,Toys,1,41.06,3.39,44.45
9,2016-12-15 23:23:23,jgordon1u@oracle.com,1300,Industrial,5,8.44,3.48,11.92
25,2016-12-05 16:58:34,swest28@wunderground.com,1261,Industrial,4,33.45,11.04,44.49
6,2016-12-08 00:25:44,fbell19@oaic.gov.au,1278,Tools,3,23.56,5.83,29.39
32,2016-05-15 11:38:49,khoward5@go.com,1111,Shoes,1,0.45,0.04,0.49
23,2016-09-03 03:11:03,swilliams9@webs.com,1316,Clothing,5,35.55,14.66,50.21
18,2016-06-11 19:40:35,jwillis3g@java.com,1324,Books,3,35.64,8.82,44.46
47,2016-04-14 21:41:56,dwatsonw@microsoft.com,1193,Shoes,1,34.36,2.83,37.19
43,2017-01-13 13:14:16,lberry4i@dailymotion.com,1005,Games,5,10.51,4.34,14.85
28,2017-03-08 09:20:13,dharvey1k@prnewswire.com,1029,Games,4,54.46,17.97,72.43
8,2016-05-03 01:21:26,fbell19@oaic.gov.au,1004,Music,2,51.43,8.49,59.92
35,2016-11-20 08:34:58,bhamilton1@free.fr,1187,Outdoors,4,34.35,11.34,45.69
27,2016-03-22 23:41:31,jdayj@cbsnews.com,1097,Sports,3,34.78,8.61,43.39
16,2016-08-10 01:55:06,bharvey57@nytimes.com,1326,Garden,2,39.67,6.55,46.22
38,2016-05-06 15:49:44,vandrewsq@indiatimes.com,1192,Computers,3,54.53,13.5,68.03
42,2016-05-09 01:04:57,kadams1c@jiathis.com,1198,Automotive,5,3.03,1.25,4.28
4,2016-05-29 18:21:06,nallen35@twitter.com,1347,Jewelery,5,34.17,14.1,48.27
20,2016-12-15 05:33:04,jtaylor12@flavors.me,1206,Toys,4,20.25,6.68,26.93
42,2016-05-09 01:04:57,kadams1c@jiathis.com,1163,Baby,2,31.22,5.15,36.37
41,2016-09-06 18:32:09,swest3j@sina.com.cn,1183,Outdoors,3,52.31,12.95,65.26
49,2016-08-11 02:10:40,astonef@godaddy.com,1239,Tools,2,7.55,1.25,8.8
2,2016-12-24 23:22:36,tleen@usgs.gov,1243,Shoes,3,36.37,9.0,45.37
39,2017-03-05 13:37:07,cbailey5a@wufoo.com,1103,Tools,3,10.7,2.65,13.35
48,2016-09-26 21:47:12,jsmitht@squidoo.com,1079,Games,4,32.36,10.68,43.04
49,2016-08-11 02:10:40,astonef@godaddy.com,1152,Toys,2,52.65,8.69,61.34
17,2016-09-08 17:02:02,bwilliamson3m@pbs.org,1014,Electronics,2,40.14,6.62,46.76
16,2016-08-10 01:55:06,bharvey57@nytimes.com,1144,Baby,3,38.72,9.58,48.3
36,2016-05-08 20:03:20,wvasquezg@canalblog.com,1296,Jewelery,5,42.47,17.52,59.99
29,2016-04-17 14:49:59,mrichards4z@slideshare.net,1293,Jewelery,4,51.71,17.06,68.77
34,2017-02-24 14:59:54,mmarshall2z@independent.co.uk,1258,Electronics,3,5.71,1.41,7.12
23,2016-09-03 03:11:03,swilliams9@webs.com,1170,Beauty,2,36.74,6.06,42.8
35,2016-11-20 08:34:58,bhamilton1@free.fr,1091,Shoes,3,43.43,10.75,54.18
1,2016-05-08 19:56:03,hcunningham15@apple.com,1191,Health,1,11.33,0.94,12.27
39,2017-03-05 13:37:07,cbailey5a@wufoo.com,1198,Automotive,1,3.03,0.25,3.28
36,2016-05-08 20:03:20,wvasquezg@canalblog.com,1253,Games,5,29.41,12.13,41.54
43,2017-01-13 13:14:16,lberry4i@dailymotion.com,1110,Kids,3,12.99,3.22,16.21
23,2016-09-03 03:11:03,swilliams9@webs.com,1218,Grocery,4,18.77,6.19,24.96
20,2016-12-15 05:33:04,jtaylor12@flavors.me,1277,Movies,2,46.53,7.68,54.21
21,2016-10-05 05:32:33,showard5f@addtoany.com,1145,Tools,3,35.02,8.67,43.69
23,2016-09-03 03:11:03,swilliams9@webs.com,1100,Automotive,1,36.72,3.03,39.75
31,2016-05-02 11:29:57,rbowman51@google.nl,1235,Garden,5,59.71,24.63,84.34
44,2016-03-23 01:23:47,enichols3v@printfriendly.com,1058,Music,2,3.07,0.51,3.58
23,2016-09-03 03:11:03,swilliams9@webs.com,1277,Movies,5,46.53,19.19,65.72
22,2016-12-06 22:35:33,dwatkins2l@auda.org.au,1028,Industrial,5,37.3,15.39,52.69
22,2016-12-06 22:35:33,dwatkins2l@auda.org.au,1145,Tools,3,35.02,8.67,43.69
43,2017-01-13 13:14:16,lberry4i@dailymotion.com,1152,Toys,5,52.65,21.72,74.37
10,2017-02-26 03:49:54,ealexanderh@npr.org,1098,Jewelery,1,40.89,3.37,44.26
30,2016-08-01 20:28:08,ahughes4g@si.edu,1251,Books,5,21.81,9.0,30.81
30,2016-08-01 20:28:08,ahughes4g@si.edu,1199,Toys,5,1.87,0.77,2.64
48,2016-09-26 21:47:12,jsmitht@squidoo.com,1184,Electronics,1,33.05,2.73,35.78
3,2016-09-28 18:17:32,lmoore4y@salon.com,1302,Movies,3,38.95,9.64,48.59
50,2016-10-30 07:23:18,khendersonx@illinois.edu,1192,Computers,4,54.53,17.99,72.52
7,2016-04-29 04:43:16,ssandersp@house.gov,1319,Health,3,66.84,16.54,83.38
4,2016-05-29 18:21:06,nallen35@twitter.com,1130,Clothing,3,17.75,4.39,22.14
43,2017-01-13 13:14:16,lberry4i@dailymotion.com,1274,Games,5,61.83,25.5,87.33
9,2016-12-15 23:23:23,jgordon1u@oracle.com,1279,Garden,5,64.35,26.54,90.89
19,2016-11-11 01:11:15,tfields1a@blinklist.com,1029,Games,4,54.46,17.97,72.43
18,2016-06-11 19:40:35,jwillis3g@java.com,1299,Music,3,46.46,11.5,57.96
26,2017-02-23 08:04:32,jperry4e@omniture.com,1048,Toys,2,12.68,2.09,14.77
5,2017-01-24 21:49:30,mgrant1g@cisco.com,1349,Shoes,5,55.93,23.07,79.0
15,2017-02-26 22:17:45,lkelley3c@vistaprint.com,1304,Outdoors,5,68.22,28.14,96.36
48,2016-09-26 21:47:12,jsmitht@squidoo.com,1046,Garden,3,11.65,2.88,14.53
40,2016-11-21 10:57:34,cross2g@independent.co.uk,1008,Outdoors,4,46.3,15.28,61.58
29,2016-04-17 14:49:59,mrichards4z@slideshare.net,1059,Baby,1,33.59,2.77,36.36
2,2016-12-24 23:22:36,tleen@usgs.gov,1099,Kids,3,0.79,0.2,0.99
24,2016-07-22 02:16:23,cthomas4m@odnoklassniki.ru,1196,Garden,2,17.27,2.85,20.12
5,2017-01-24 21:49:30,mgrant1g@cisco.com,1310,Grocery,2,57.01,9.41,66.42
18,2016-06-11 19:40:35,jwillis3g@java.com,1213,Jewelery,3,8.76,2.17,10.93
23,2016-09-03 03:11:03,swilliams9@webs.com,1122,Movies,4,26.3,8.68,34.98
24,2016-07-22 02:16:23,cthomas4m@odnoklassniki.ru,1266,Clothing,4,67.95,22.42,90.37
24,2016-07-22 02:16:23,cthomas4m@odnoklassniki.ru,1020,Shoes,1,32.17,2.65,34.82
37,2017-03-01 21:44:10,kfreeman10@craigslist.org,1294,Industrial,1,37.16,3.07,40.23
47,2016-04-14 21:41:56,dwatsonw@microsoft.com,1059,Baby,3,33.59,8.31,41.9
28,2017-03-08 09:20:13,dharvey1k@prnewswire.com,1001,Music,5,63.26,26.09,89.35
29,2016-04-17 14:49:59,mrichards4z@slideshare.net,1156,Computers,4,7.76,2.56,10.32
23,2016-09-03 03:11:03,swilliams9@webs.com,1191,Health,1,11.33,0.94,12.27
31,2016-05-02 11:29:57,rbowman51@google.nl,1079,Games,1,32.36,2.67,35.03
44,2016-03-23 01:23:47,enichols3v@printfriendly.com,1142,Industrial,5,48.1,19.84,67.94
45,2016-04-16 20:30:33,ksanchez3d@rediff.com,1207,Tools,4,40.44,13.35,53.79
28,2017-03-08 09:20:13,dharvey1k@prnewswire.com,1056,Automotive,1,7.15,0.59,7.74
47,2016-04-14 21:41:56,dwatsonw@microsoft.com,1054,Kids,5,54.63,22.53,77.16
36,2016-05-08 20:03:20,wvasquezg@canalblog.com,1135,Automotive,2,34.1,5.63,39.73
9,2016-12-15 23:23:23,jgordon1u@oracle.com,1064,Health,1,5.19,0.43,5.62
13,2016-12-27 10:25:47,fbell19@oaic.gov.au,1036,Toys,2,19.29,3.18,22.47
31,2016-05-02 11:29:57,rbowman51@google.nl,1159,Baby,4,7.67,2.53,10.2
27,2016-03-22 23:41:31,jdayj@cbsnews.com,1088,Jewelery,5,46.59,19.22,65.81
28,2017-03-08 09:20:13,dharvey1k@prnewswire.com,1236,Baby,4,24.91,8.22,33.13
13,2016-12-27 10:25:47,fbell19@oaic.gov.au,1276,Grocery,2,48.93,8.07,57.0
48,2016-09-26 21:47:12,jsmitht@squidoo.com,1007,Electronics,3,42.38,10.49,52.87
19,2016-11-11 01:11:15,tfields1a@blinklist.com,1258,Electronics,3,5.71,1.41,7.12
45,2016-04-16 20:30:33,ksanchez3d@rediff.com,1068,Health,5,48.1,19.84,67.94
22,2016-12-06 22:35:33,dwatkins2l@auda.org.au,1286,Garden,2,51.21,8.45,59.66
18,2016-06-11 19:40:35,jwillis3g@java.com,1096,Jewelery,4,45.41,14.99,60.4
35,2016-11-20 08:34:58,bhamilton1@free.fr,1258,Electronics,1,5.71,0.47,6.18
38,2016-05-06 15:49:44,vandrewsq@indiatimes.com,1213,Jewelery,3,8.76,2.17,10.93
28,2017-03-08 09:20:13,dharvey1k@prnewswire.com,1309,Shoes,1,18.58,1.53,20.11
17,2016-09-08 17:02:02,bwilliamson3m@pbs.org,1236,Baby,4,24.91,8.22,33.13
2,2016-12-24 23:22:36,tleen@usgs.gov,1161,Jewelery,2,19.34,3.19,22.53
31,2016-05-02 11:29:57,rbowman51@google.nl,1226,Shoes,1,52.18,4.3,56.48
43,2017-01-13 13:14:16,lberry4i@dailymotion.com,1225,Shoes,4,14.89,4.91,19.8
4,2016-05-29 18:21:06,nallen35@twitter.com,1177,Automotive,1,52.67,4.35,57.02
35,2016-11-20 08:34:58,bhamilton1@free.fr,1329,Industrial,3,42.2,10.44,52.64
40,2016-11-21 10:57:34,cross2g@independent.co.uk,1070,Baby,3,2.43,0.6,3.03
43,2017-01-13 13:14:16,lberry4i@dailymotion.com,1120,Books,2,33.8,5.58,39.38
37,2017-03-01 21:44:10,kfreeman10@craigslist.org,1335,Shoes,5,60.16,24.82,84.98
28,2017-03-08 09:20:13,dharvey1k@prnewswire.com,1031,Movies,2,46.24,7.63,53.87
11,2016-10-14 10:30:33,cgreen4@blogger.com,1093,Books,4,60.4,19.93,80.33
34,2017-02-24 14:59:54,mmarshall2z@independent.co.uk,1303,Books,2,40.72,6.72,47.44
40,2016-11-21 10:57:34,cross2g@independent.co.uk,1279,Garden,4,64.35,21.24,85.59
39,2017-03-05 13:37:07,cbailey5a@wufoo.com,1143,Beauty,4,26.01,8.58,34.59
27,2016-03-22 23:41:31,jdayj@cbsnews.com,1046,Garden,4,11.65,3.84,15.49
45,2016-04-16 20:30:33,ksanchez3d@rediff.com,1285,Games,2,37.47,6.18,43.65
17,2016-09-08 17:02:02,bwilliamson3m@pbs.org,1279,Garden,2,64.35,10.62,74.97
50,2016-10-30 07:23:18,khendersonx@illinois.edu,1141,Outdoors,4,49.58,16.36,65.94
28,2017-03-08 09:20:13,dharvey1k@prnewswire.com,1307,Shoes,4,27.11,8.95,36.06
36,2016-05-08 20:03:20,wvasquezg@canalblog.com,1308,Automotive,3,16.57,4.1,20.67
46,2016-10-21 01:20:32,jperry4e@omniture.com,1141,Outdoors,4,49.58,16.36,65.94
12,2017-01-18 11:00:15,rreed56@stumbleupon.com,1056,Automotive,3,7.15,1.77,8.92
44,2016-03-23 01:23:47,enichols3v@printfriendly.com,1150,Automotive,5,3.68,1.52,5.2
18,2016-06-11 19:40:35,jwillis3g@java.com,1156,Computers,1,7.76,0.64,8.4
24,2016-07-22 02:16:23,cthomas4m@odnoklassniki.ru,1216,Movies,1,20.58,1.7,22.28
45,2016-04-16 20:30:33,ksanchez3d@rediff.com,1312,Games,3,4.08,1.01,5.09
14,2016-08-15 01:07:54,dkelly2d@miibeian.gov.cn,1330,Movies,2,54.32,8.96,63.28
15,2017-02-26 22:17:45,lkelley3c@vistaprint.com,1238,Music,3,13.74,3.4,17.14
46,2016-10-21 01:20:32,jperry4e@omniture.com,1346,Computers,2,51.7,8.53,60.23
14,2016-08-15 01:07:54,dkelly2d@miibeian.gov.cn,1297,Garden,5,9.49,3.91,13.4
9,2016-12-15 23:23:23,jgordon1u@oracle.com,1311,Jewelery,2,11.02,1.82,12.84
16,2016-08-10 01:55:06,bharvey57@nytimes.com,1158,Industrial,5,3.74,1.54,5.28
29,2016-04-17 14:49:59,mrichards4z@slideshare.net,1204,Electronics,3,2.69,0.67,3.36
25,2016-12-05 16:58:34,swest28@wunderground.com,1281,Books,1,21.35,1.76,23.11
31,2016-05-02 11:29:57,rbowman51@google.nl,1033,Games,3,2.91,0.72,3.63
34,2017-02-24 14:59:54,mmarshall2z@independent.co.uk,1281,Books,1,21.35,1.76,23.11
35,2016-11-20 08:34:58,bhamilton1@free.fr,1222,Health,2,8.88,1.47,10.35
33,2016-08-31 05:11:28,gwoodsk@indiegogo.com,1308,Automotive,2,16.57,2.73,19.3
2,2016-12-24 23:22:36,tleen@usgs.gov,1160,Games,2,57.3,9.45,66.75
8,2016-05-03 01:21:26,fbell19@oaic.gov.au,1330,Movies,4,54.32,17.93,72.25
16,2016-08-10 01:55:06,bharvey57@nytimes.com,1070,Baby,1,2.43,0.2,2.63
23,2016-09-03 03:11:03,swilliams9@webs.com,1162,Jewelery,4,21.16,6.98,28.14
24,2016-07-22 02:16:23,cthomas4m@odnoklassniki.ru,1127,Tools,3,66.52,16.46,82.98
36,2016-05-08 20:03:20,wvasquezg@canalblog.com,1165,Health,3,45.74,11.32,57.06
49,2016-08-11 02:10:40,astonef@godaddy.com,1171,Computers,3,9.66,2.39,12.05
23,2016-09-03 03:11:03,swilliams9@webs.com,1217,Shoes,3,3.99,0.99,4.98
4,2016-05-29 18:21:06,nallen35@twitter.com,1134,Outdoors,4,46.55,15.36,61.91
31,2016-05-02 11:29:57,rbowman51@google.nl,1334,Health,3,3.44,0.85,4.29
8,2016-05-03 01:21:26,fbell19@oaic.gov.au,1262,Jewelery,4,30.61,10.1,40.71
16,2016-08-10 01:55:06,bharvey57@nytimes.com,1037,Shoes,2,18.87,3.11,21.98
2,2016-12-24 23:22:36,tleen@usgs.gov,1115,Industrial,4,64.2,21.19,85.39
17,2016-09-08 17:02:02,bwilliamson3m@pbs.org,1337,Clothing,4,10.84,3.58,14.42
13,2016-12-27 10:25:47,fbell19@oaic.gov.au,1051,Shoes,4,41.93,13.84,55.77
16,2016-08-10 01:55:06,bharvey57@nytimes.com,1024,Baby,4,2.24,0.74,2.98
21,2016-10-05 05:32:33,showard5f@addtoany.com,1328,Electronics,2,61.8,10.2,72.0
46,2016-10-21 01:20:32,jperry4e@omniture.com,1036,Toys,5,19.29,7.96,27.25
8,2016-05-03 01:21:26,fbell19@oaic.gov.au,1071,Books,1,48.84,4.03,52.87
29,2016-04-17 14:49:59,mrichards4z@slideshare.net,1041,Clothing,2,27.98,4.62,32.6
26,2017-02-23 08:04:32,jperry4e@omniture.com,1033,Games,5,2.91,1.2,4.11
8,2016-05-03 01:21:26,fbell19@oaic.gov.au,1251,Books,1,21.81,1.8,23.61
47,2016-04-14 21:41:56,dwatsonw@microsoft.com,1244,Garden,1,32.32,2.67,34.99
26,2017-02-23 08:04:32,jperry4e@omniture.com,1074,Kids,3,24.54,6.07,30.61
8,2016-05-03 01:21:26,fbell19@oaic.gov.au,1198,Automotive,5,3.03,1.25,4.28
38,2016-05-06 15:49:44,vandrewsq@indiatimes.com,1350,Shoes,3,61.61,15.25,76.86
15,2017-02-26 22:17:45,lkelley3c@vistaprint.com,1067,Kids,3,5.72,1.42,7.14
21,2016-10-05 05:32:33,showard5f@addtoany.com,1215,Shoes,4,21.12,6.97,28.09
32,2016-05-15 11:38:49,khoward5@go.com,1345,Sports,3,48.13,11.91,60.04
14,2016-08-15 01:07:54,dkelly2d@miibeian.gov.cn,1064,Health,4,5.19,1.71,6.9
26,2017-02-23 08:04:32,jperry4e@omniture.com,1117,Beauty,2,52.15,8.6,60.75
16,2016-08-10 01:55:06,bharvey57@nytimes.com,1280,Music,1,7.12,0.59,7.71
50,2016-10-30 07:23:18,khendersonx@illinois.edu,1061,Books,5,16.25,6.7,22.95
12,2017-01-18 11:00:15,rreed56@stumbleupon.com,1173,Tools,3,46.71,11.56,58.27
16,2016-08-10 01:55:06,bharvey57@nytimes.com,1149,Grocery,4,17.82,5.88,23.7
33,2016-08-31 05:11:28,gwoodsk@indiegogo.com,1238,Music,3,13.74,3.4,17.14
48,2016-09-26 21:47:12,jsmitht@squidoo.com,1317,Grocery,1,18.37,1.52,19.89
28,2017-03-08 09:20:13,dharvey1k@prnewswire.com,1051,Shoes,2,41.93,6.92,48.85
22,2016-12-06 22:35:33,dwatkins2l@auda.org.au,1299,Music,2,46.46,7.67,54.13
4,2016-05-29 18:21:06,nallen35@twitter.com,1195,Books,3,22.59,5.59,28.18
47,2016-04-14 21:41:56,dwatsonw@microsoft.com,1159,Baby,5,7.67,3.16,10.83
22,2016-12-06 22:35:33,dwatkins2l@auda.org.au,1113,Sports,2,52.07,8.59,60.66
14,2016-08-15 01:07:54,dkelly2d@miibeian.gov.cn,1291,Clothing,2,55.59,9.17,64.76
31,2016-05-02 11:29:57,rbowman51@google.nl,1315,Clothing,5,37.26,15.37,52.63
23,2016-09-03 03:11:03,swilliams9@webs.com,1111,Shoes,1,0.45,0.04,0.49
33,2016-08-31 05:11:28,gwoodsk@indiegogo.com,1185,Sports,3,57.23,14.16,71.39
30,2016-08-01 20:28:08,ahughes4g@si.edu,1268,Outdoors,4,24.08,7.95,32.03
28,2017-03-08 09:20:13,dharvey1k@prnewswire.com,1152,Toys,5,52.65,21.72,74.37
33,2016-08-31 05:11:28,gwoodsk@indiegogo.com,1192,Computers,5,54.53,22.49,77.02
1,2016-05-08 19:56:03,hcunningham15@apple.com,1294,Industrial,3,37.16,9.2,46.36
1,2016-05-08 19:56:03,hcunningham15@apple.com,1064,Health,3,5.19,1.28,6.47
26,2017-02-23 08:04:32,jperry4e@omniture.com,1291,Clothing,5,55.59,22.93,78.52
46,2016-10-21 01:20:32,jperry4e@omniture.com,1212,Toys,5,35.61,14.69,50.3
1,2016-05-08 19:56:03,hcunningham15@apple.com,1275,Grocery,2,38.94,6.43,45.37
40,2016-11-21 10:57:34,cross2g@independent.co.uk,1096,Jewelery,1,45.41,3.75,49.16
20,2016-12-15 05:33:04,jtaylor12@flavors.me,1319,Health,3,66.84,16.54,83.38
6,2016-12-08 00:25:44,fbell19@oaic.gov.au,1346,Computers,2,51.7,8.53,60.23
13,2016-12-27 10:25:47,fbell19@oaic.gov.au,1295,Grocery,1,58.6,4.83,63.43
36,2016-05-08 20:03:20,wvasquezg@canalblog.com,1144,Baby,2,38.72,6.39,45.11
1,2016-05-08 19:56:03,hcunningham15@apple.com,1154,Games,4,4.14,1.37,5.51
45,2016-04-16 20:30:33,ksanchez3d@rediff.com,1347,Jewelery,4,34.17,11.28,45.45
15,2017-02-26 22:17:45,lkelley3c@vistaprint.com,1268,Outdoors,1,24.08,1.99,26.07
29,2016-04-17 14:49:59,mrichards4z@slideshare.net,1109,Jewelery,4,66.19,21.84,88.03
12,2017-01-18 11:00:15,rreed56@stumbleupon.com,1186,Electronics,3,9.52,2.36,11.88
42,2016-05-09 01:04:57,kadams1c@jiathis.com,1206,Toys,5,20.25,8.35,28.6
22,2016-12-06 22:35:33,dwatkins2l@auda.org.au,1126,Shoes,1,59.16,4.88,64.04
27,2016-03-22 23:41:31,jdayj@cbsnews.com,1298,Garden,4,28.35,9.36,37.71
24,2016-07-22 02:16:23,cthomas4m@odnoklassniki.ru,1177,Automotive,1,52.67,4.35,57.02
42,2016-05-09 01:04:57,kadams1c@jiathis.com,1179,Automotive,1,58.2,4.8,63.0
4,2016-05-29 18:21:06,nallen35@twitter.com,1090,Home,1,42.9,3.54,46.44
25,2016-12-05 16:58:34,swest28@wunderground.com,1152,Toys,3,52.65,13.03,65.68
9,2016-12-15 23:23:23,jgordon1u@oracle.com,1211,Industrial,4,43.1,14.22,57.32
50,2016-10-30 07:23:18,khendersonx@illinois.edu,1105,Jewelery,4,34.77,11.47,46.24
8,2016-05-03 01:21:26,fbell19@oaic.gov.au,1138,Baby,4,21.46,7.08,28.54
4,2016-05-29 18:21:06,nallen35@twitter.com,1032,Games,1,20.24,1.67,21.91
4,2016-05-29 18:21:06,nallen35@twitter.com,1305,Music,1,39.73,3.28,43.01
8,2016-05-03 01:21:26,fbell19@oaic.gov.au,1101,Music,2,7.48,1.23,8.71
30,2016-08-01 20:28:08,ahughes4g@si.edu,1071,Books,2,48.84,8.06,56.9
14,2016-08-15 01:07:54,dkelly2d@miibeian.gov.cn,1285,Games,1,37.47,3.09,40.56
45,2016-04-16 20:30:33,ksanchez3d@rediff.com,1225,Shoes,2,14.89,2.46,17.35
47,2016-04-14 21:41:56,dwatsonw@microsoft.com,1335,Shoes,2,60.16,9.93,70.09
19,2016-11-11 01:11:15,tfields1a@blinklist.com,1272,Toys,1,34.13,2.82,36.95
50,2016-10-30 07:23:18,khendersonx@illinois.edu,1181,Computers,5,56.47,23.29,79.76
29,2016-04-17 14:49:59,mrichards4z@slideshare.net,1208,Shoes,4,12.26,4.05,16.31
24,2016-07-22 02:16:23,cthomas4m@odnoklassniki.ru,1286,Garden,3,51.21,12.67,63.88
2,2016-12-24 23:22:36,tleen@usgs.gov,1091,Shoes,4,43.43,14.33,57.76
5,2017-01-24 21:49:30,mgrant1g@cisco.com,1110,Kids,4,12.99,4.29,17.28
40,2016-11-21 10:57:34,cross2g@independent.co.uk,1242,Movies,4,44.83,14.79,59.62
34,2017-02-24 14:59:54,mmarshall2z@independent.co.uk,1268,Outdoors,1,24.08,1.99,26.07
11,2016-10-14 10:30:33,cgreen4@blogger.com,1104,Electronics,4,3.32,1.1,4.42
20,2016-12-15 05:33:04,jtaylor12@flavors.me,1205,Tools,4,33.34,11.0,44.34
32,2016-05-15 11:38:49,khoward5@go.com,1026,Computers,4,0.95,0.31,1.26
22,2016-12-06 22:35:33,dwatkins2l@auda.org.au,1109,Jewelery,2,66.19,10.92,77.11
46,2016-10-21 01:20:32,jperry4e@omniture.com,1271,Books,3,52.63,13.03,65.66
3,2016-09-28 18:17:32,lmoore4y@salon.com,1211,Industrial,3,43.1,10.67,53.77
42,2016-05-09 01:04:57,kadams1c@jiathis.com,1315,Clothing,4,37.26,12.3,49.56
8,2016-05-03 01:21:26,fbell19@oaic.gov.au,1250,Garden,4,38.34,12.65,50.99
46,2016-10-21 01:20:32,jperry4e@omniture.com,1278,Tools,5,23.56,9.72,33.28
28,2017-03-08 09:20:13,dharvey1k@prnewswire.com,1080,Automotive,5,29.86,12.32,42.18
25,2016-12-05 16:58:34,swest28@wunderground.com,1181,Computers,1,56.47,4.66,61.13
16,2016-08-10 01:55:06,bharvey57@nytimes.com,1148,Outdoors,4,20.65,6.81,27.46
5,2017-01-24 21:49:30,mgrant1g@cisco.com,1229,Jewelery,2,46.13,7.61,53.74
42,2016-05-09 01:04:57,kadams1c@jiathis.com,1214,Toys,1,14.2,1.17,15.37
41,2016-09-06 18:32:09,swest3j@sina.com.cn,1161,Jewelery,5,19.34,7.98,27.32
23,2016-09-03 03:11:03,swilliams9@webs.com,1048,Toys,4,12.68,4.18,16.86
10,2017-02-26 03:49:54,ealexanderh@npr.org,1308,Automotive,5,16.57,6.84,23.41
41,2016-09-06 18:32:09,swest3j@sina.com.cn,1085,Health,4,37.8,12.47,50.27
18,2016-06-11 19:40:35,jwillis3g@java.com,1068,Health,1,48.1,3.97,52.07
48,2016-09-26 21:47:12,jsmitht@squidoo.com,1180,Computers,2,32.46,5.36,37.82
31,2016-05-02 11:29:57,rbowman51@google.nl,1314,Kids,1,20.15,1.66,21.81
26,2017-02-23 08:04:32,jperry4e@omniture.com,1338,Electronics,4,37.73,12.45,50.18
43,2017-01-13 13:14:16,lberry4i@dailymotion.com,1084,Baby,2,21.06,3.47,24.53
