cu_id,cu_user_id,cu_email,cu_password,cu_first_nm,cu_last_nm,cu_dob,cu_gender,cu_address,cu_city,cu_st_id,cu_zip_code,cu_telephone
13,Phufr8012,scampbellc@wisc.edu,dM4vCR,Shawn,Campbell,10/1/2003,M,40432 Macpherson Pass,Tabuadelo,35,4835-449,351-(597)158-0178
14,btfQb9430,esimpsond@goo.gl,1CD4Qi,Earl,Simpson,3/8/2003,M,4 Canary Pass,Wonda,48,,62-(931)169-6624
15,OqCNG9910,ereyese@miitbeian.gov.cn,Q75A9IM,Earl,Reyes,11/1/1944,M,9 Gerald Way,Hénin-Beaumont,14,62254 CEDEX,33-(174)851-8178
16,tsHCT1310,pbarnesf@imageshack.us,Om9yIZ9X,Paul,Barnes,9/19/1935,M,6287 Mandrake Center,Dalongtan,9,,86-(895)485-2704
17,IYgUl70,jdanielsg@biblegateway.com,KKgfKZkvOE,Johnny,Daniels,5/25/1969,M,901 Stoughton Terrace,Pacar,30,,62-(564)278-8955
18,MGauQ658,areidh@marketwatch.com,PUeLr0QvI,Angela,Reid,3/24/1982,F,47 Columbus Parkway,Lyozna,25,,375-(499)410-1894
19,MEGgm6403,jmurrayi@dmoz.org,eJ0bKExF4Kof,Janice,Murray,6/12/1940,F,1652 Talmadge Pass,San Francisco,18,253608,57-(426)401-7375
20,GEopt4817,darmstrongj@squidoo.com,d66R8LLhdm,Dennis,Armstrong,3/7/1976,M,54844 Menomonie Alley,Eger,28,3304,36-(797)294-2288
21,FXKCa2287,jhowellk@yandex.ru,GhWUD5CvmTu,Joshua,Howell,6/8/1961,M,7 Summerview Place,Atolina,40,,375-(834)572-6818
22,fRAgD5307,gandrewsl@ox.ac.uk,mVHSxN,Gary,Andrews,9/29/1984,M,452 Beilfuss Street,Malinovskiy,47,628251,7-(878)296-3867
23,BnNdE10,rrileym@netvibes.com,pht4Bl3a6rE3,Ronald,Riley,2/11/1965,M,99 Monica Park,Porto Martins,37,9760-099,351-(644)482-9417
24,aVrYT9107,jwallacen@sogou.com,lZhVJUO,Jesse,Wallace,3/4/1990,M,1420 Hoepker Parkway,Bang Lamung,22,20150,66-(298)477-5915
25,VgBQY2757,pfullero@wikipedia.org,m5OKaBkIBJM,Paul,Fuller,10/10/1936,M,368 Eliot Circle,Rzhev,24,172389,7-(363)975-8487
26,SNrtO514,rperryp@technorati.com,W4KmCt,Russell,Perry,12/31/1999,M,6 Fordem Crossing,Shanjiang,32,,86-(340)364-3637
27,FOuJE58,lbennettq@miibeian.gov.cn,4y5Qmor,Lisa,Bennett,12/2/1996,F,251 South Lane,Teresa,28,1880,63-(234)848-1367
28,bSNoU2484,jrobertsr@weebly.com,NO0DwAbdU,Jeremy,Roberts,5/19/1961,M,14 Steensland Pass,Tumu’ertai,39,,86-(171)443-6983
29,CgMJT4239,hschmidts@seattletimes.com,etneAM1A9CiP,Helen,Schmidt,9/6/1929,F,56791 Pleasure Lane,Wārāh,19,77041,92-(228)146-8689
30,cJVUA990,kmillert@phpbb.com,d639m4nL3Xa,Kelly,Miller,4/15/1957,F,5 Lighthouse Bay Court,Grand Rapids,36,49560,1-(616)230-9869
31,VPCzX8435,jsnyderu@macromedia.com,2CIUtC8f9lQ,Jimmy,Snyder,8/11/2003,M,78435 Merchant Lane,Alua,39,3109,63-(657)660-3475
32,rcmSC45,bporterv@cargocollective.com,7KbwEjnJ,Bobby,Porter,8/6/1940,M,49 Shasta Way,Mýki,18,,30-(723)273-3204
33,DCRyS346,mandersonw@wordpress.com,RWO4LU8,Margaret,Anderson,6/5/1975,F,23379 Tennyson Crossing,Roun Satu,2,,62-(712)755-7551
34,qftYt77,pmurrayx@google.com.au,SKKdTrNN,Phyllis,Murray,4/4/1946,F,3 Tennessee Parkway,Savitaipale,30,54801,358-(292)708-3622
35,ahRDG90,kcarpentery@usgs.gov,oglJNz,Karen,Carpenter,6/23/1951,F,4322 Lien Terrace,Nyalindung,9,,62-(104)868-6354
36,wxVaF3657,cwoodsz@jiathis.com,kaK0bgzk,Carolyn,Woods,7/16/1980,F,63760 Sutteridge Alley,Boyang,30,,86-(398)127-3792
37,olVkA28,rcunningham10@smh.com.au,DnzKtDnR0mXO,Ruth,Cunningham,12/7/1946,F,978 Packers Point,Lobanovo,21,614532,7-(368)169-5431
38,FnqnB258,hbutler11@npr.org,OCliARRlF8,Helen,Butler,1/7/1972,F,2 Homewood Hill,Katyuzhanka,28,,380-(245)840-7846
39,lRcPf10,dross12@comcast.net,dHq8Ix3,Diane,Ross,7/5/1954,F,820 Mendota Terrace,Chengxi,14,,86-(675)507-6562
40,uiKJJ1371,dstanley13@desdev.cn,HSJzdpgE6Z,Denise,Stanley,5/4/1943,F,26640 Milwaukee Alley,Baruny,24,,375-(309)631-5618
41,IUeAr559,rbell14@taobao.com,slOkBc4,Russell,Bell,10/7/1971,M,03 Ilene Trail,Longka,4,,62-(695)920-9676
42,KPUBL335,dlynch15@mail.ru,wc69rfFZabqs,David,Lynch,12/18/1962,M,6 Basil Trail,Chantilly,24,60637 CEDEX,33-(536)244-9355
43,FvPQR49,sarmstrong16@mozilla.org,mSZQBuHOPI,Samuel,Armstrong,5/15/1971,M,56 Dahle Hill,Tomiya,4,981-3311,81-(737)441-5123
44,yajVE48,pturner17@freewebs.com,dccbuh1gxtjo,Pamela,Turner,6/14/1995,F,03720 John Wall Pass,Melaka,34,75720,60-(781)708-5919
45,pRBqX77,wanderson18@php.net,1dO3Uou0,Wanda,Anderson,12/19/1922,F,9 Hovde Park,Mbaïki,25,,236-(447)697-4517
46,qIHtT25,nrichards19@timesonline.co.uk,K1LbsS,Norma,Richards,1/10/1948,F,7063 Kim Crossing,Tocopilla,2,,56-(334)684-7235
47,UvMiz7772,aarnold1a@example.com,9YNpQ4Eu,Aaron,Arnold,12/14/1955,M,1 Sheridan Trail,Kinkala,46,,242-(973)477-9247
48,eKpcf7229,ccollins1b@uiuc.edu,amVmE9HyL,Clarence,Collins,4/5/1986,M,7851 Texas Place,Karangmelok,6,,62-(501)200-2568
49,oDeox13,wbaker1c@amazonaws.com,s2yyJ4NISh,William,Baker,4/22/1921,M,5 Clemons Terrace,Bodø,17,8029,47-(424)656-2571
50,YbWpa2753,cmorales1d@yandex.ru,6Z2YU7,Carol,Morales,7/29/1982,F,87331 Fulton Crossing,Tovačov,27,752 01,420-(384)881-5364
51,JFWzJ75,jgriffin1e@ucla.edu,LmBIXyntJx,Joshua,Griffin,4/24/1982,M,04063 Fuller Center,Tiarei,25,,689-(509)537-3138
52,WExDq24,rfuller1f@bbc.co.uk,eU1dRT8jR9T,Russell,Fuller,9/18/1999,M,86 Sutherland Avenue,Malinovskiy,19,628251,7-(858)452-9055
53,mkDIJ29,tcarroll1g@de.vu,qZHxSYWn,Timothy,Carroll,4/1/1987,M,1 Trailsway Junction,Dahu Satu,30,,62-(864)493-7718
54,Zxqyr6612,hmorrison1h@virginia.edu,eV2QWkJl6MSV,Harry,Morrison,12/16/2007,M,4 3rd Circle,Rungis,5,94569 CEDEX 2,33-(368)220-6743
55,GFZtT59,tsnyder1i@auda.org.au,g33dwnxd0E2,Terry,Snyder,7/7/1950,M,8224 8th Junction,Orléans,23,45947 CEDEX 9,33-(541)382-1674
56,CbrOs7913,bduncan1j@theatlantic.com,PYtqnJ,Bonnie,Duncan,7/21/1943,F,698 Laurel Road,Pyšely,5,251 67,420-(862)545-2009
57,KTWxF5280,hfowler1k@hao123.com,qkRpEs,Henry,Fowler,3/25/2000,M,1 Nevada Circle,Dailekh,40,,977-(298)538-3021
58,wzqcD41,swest1l@pinterest.com,13DFgvDT,Sean,West,12/9/2002,M,554 Melody Hill,Sekongkang Bawah,49,,62-(871)655-4619
59,oKNLJ187,wmontgomery1m@163.com,N6Ro5V,Wanda,Montgomery,7/11/1948,F,11670 Clyde Gallagher Terrace,Jalapa,15,,505-(325)725-4008
60,WkQIM9590,mmorris1n@thetimes.co.uk,aUpIAK,Margaret,Morris,10/2/1940,F,90 Columbus Pass,Rio das Ostras,46,28890-000,55-(389)192-2367
61,XtflG941,mfisher1o@technorati.com,jxsmKgqR2er,Mark,Fisher,3/17/1976,M,6 Bashford Parkway,Baranti,47,,62-(744)852-1001
62,zEVuL8791,afowler1p@craigslist.org,TKSTQDu80pAi,Alice,Fowler,11/28/1981,F,950 Spohn Circle,Puamata,42,,62-(343)440-7637
63,VUeFO046,jcarpenter1q@about.me,iLtyhiClf,Jimmy,Carpenter,4/6/1965,M,04407 Walton Point,Cikotok,6,,62-(732)721-4427
64,MbbZX9697,bnguyen1r@mayoclinic.com,f7SbLnj,Brian,Nguyen,8/1/1994,M,556 Derek Court,Guayabal,25,732068,57-(531)925-3341
65,EdMMW594,jryan1s@uiuc.edu,EIORvrrJtq11,Jimmy,Ryan,9/29/1925,M,24 Talisman Pass,Yongfa,24,,86-(648)424-6106
66,sBZJG01,sking1t@foxnews.com,PUhGh3ksN,Shirley,King,6/14/1944,F,27139 Elgar Way,Tangga,47,,62-(794)514-6886
67,CzZVm6855,phowell1u@slideshare.net,55GCz6Qg,Phyllis,Howell,1/8/1972,F,07737 Warrior Point,Merlo,6,5881,54-(863)418-3615
68,DzCkm807,jstewart1v@telegraph.co.uk,fXFp59XjRV,Jonathan,Stewart,4/13/1995,M,85 Bashford Crossing,Ängelholm,29,262 57,46-(905)138-3770
69,OxkzK836,plewis1w@forbes.com,aNfOO3Rj,Peter,Lewis,11/16/2006,M,99875 Banding Way,Blinsung,30,2317,63-(726)208-2045
70,ELiRY29,sbowman1x@apache.org,hWuped1,Sarah,Bowman,9/21/1994,F,91350 Stang Street,Sangalhos,11,3780-115,351-(694)506-3825
71,yrECI0597,ehudson1y@imgur.com,rdQtGV,Elizabeth,Hudson,2/25/1950,F,18108 Luster Street,Seseng,5,,62-(106)848-9152
72,tmpQI71,igonzalez1z@mail.ru,Bc2GrmINN,Irene,Gonzalez,3/2/1956,F,565 Delaware Place,Suidong,4,,86-(728)991-6264
73,CpWhL46,dhunter20@sfgate.com,t8ZQL2uMg,Daniel,Hunter,6/9/2006,M,39 Fieldstone Drive,Changqi,12,,86-(526)270-3708
74,rTwcC9521,rwest21@goodreads.com,56h0ImI,Russell,West,3/30/1945,M,393 Spaight Park,Niigata-shi,8,951-8167,81-(822)482-9609
75,pFabx540,jmurphy22@sun.com,ykDQBkVDF,Jose,Murphy,9/7/1952,M,427 Beilfuss Trail,Killam,46,A0A,1-(722)794-2468
76,QTQNj3094,bgrant23@about.me,4RYBlYx6O,Brandon,Grant,8/19/1977,M,19 Ilene Road,Banjar Bongangede,48,,62-(461)374-8076
77,nMNJk5842,kgonzales24@state.gov,XPVMa1FvRX,Kevin,Gonzales,10/15/1971,M,315 Lindbergh Avenue,Krajan Demit,3,,62-(523)582-8220
78,VobFH824,mmurphy25@github.io,Ykn0T0QLB,Michelle,Murphy,5/13/1930,F,7062 Mariners Cove Avenue,Xuanhuadian,22,,86-(516)692-5860
79,Poyjx3362,adean26@yolasite.com,w9t8BZp,Arthur,Dean,9/10/1948,M,3 South Center,Rixi,30,,86-(879)387-6506
80,qbsmg19,rburton27@mozilla.org,VKDVF2AYWIw,Rebecca,Burton,5/20/1935,F,0 Scofield Trail,Luftinjë,22,,355-(294)360-7668
81,ztQcj1521,llewis28@whitehouse.gov,kUVPptQg8vt7,Lisa,Lewis,9/7/1993,F,8152 Trailsway Place,Mamanguape,34,58280-000,55-(870)465-4132
82,tXdGY711,bday29@cam.ac.uk,iElalNfidRA2,Betty,Day,11/16/1929,F,58634 Manufacturers Junction,Naili,41,5613,63-(782)309-4563
83,egncL8950,rmorris2a@npr.org,fNfm8apO1ei,Raymond,Morris,4/7/1973,M,4 Mayfield Trail,Sasa,15,,62-(210)877-1594
84,CbbcI6407,mspencer2b@sina.com.cn,P6fDlOpO35D,Mary,Spencer,4/5/1920,F,6 Miller Avenue,Xieba,2,,86-(396)587-6862
85,ZPTBg899,chart2c@xinhuanet.com,nvXtln,Charles,Hart,1/13/1980,M,602 Homewood Circle,Pamotan,38,,62-(925)916-9238
86,rFDPV3367,dsimpson2d@w3.org,UsCx1SU,Dorothy,Simpson,1/1/1952,F,13607 Golf Plaza,Sadao,47,45000,66-(493)501-5099
87,dekiE1444,pmurphy2e@umn.edu,VVn8AFZBrp8,Philip,Murphy,9/3/1947,M,15602 Hovde Trail,La Roche-sur-Yon,38,85009 CEDEX,33-(458)170-8535
88,pzYgo987,jwarren2f@sakura.ne.jp,9bB3LEaO,Jacqueline,Warren,6/30/1945,F,18138 Hoard Trail,Nangkasari,13,,62-(403)307-2844
89,UsgPf4282,rspencer2g@yandex.ru,lOQWC3U1d8hR,Robin,Spencer,5/25/1998,F,18 Briar Crest Court,Valencia,30,6306,63-(448)427-7457
90,eAejb526,radams2h@examiner.com,6QvhWIpQ4Ov,Richard,Adams,9/8/1925,M,2 Killdeer Pass,Puerto Aisén,3,,56-(470)493-3370
91,imbjL43,pclark2i@icq.com,1ardIMZHk,Phillip,Clark,7/26/1934,M,8421 New Castle Drive,Chagang,25,,86-(341)905-0153
92,xDcZu0570,cpierce2j@ycombinator.com,3yF4qIA,Christine,Pierce,5/31/1962,F,174 Homewood Park,Karangintan,12,,62-(140)720-4889
93,tRWQl543,msimpson2k@pagesperso-orange.fr,bSF4Xg4YfD,Melissa,Simpson,11/23/1948,F,38 Cambridge Avenue,Snizhne,2,,380-(339)911-6478
94,AZdOs5113,awilliams2l@prweb.com,Zj7Tn5jrj,Andrea,Williams,9/26/1990,F,7 Vernon Circle,Verrettes,24,,509-(349)498-5912
95,XzzCB0196,gkennedy2m@bbb.org,pzALINDJChN,George,Kennedy,3/27/1941,M,6 Melvin Park,Hausjärvi,34,12210,358-(130)948-7149
96,Qwzzz7769,kriley2n@g.co,deYUVSM19X,Karen,Riley,10/10/1999,F,9166 Oakridge Trail,Songjianghe,48,,86-(281)365-0367
97,CERRJ4820,rjenkins2o@lycos.com,gU2shKt,Richard,Jenkins,4/15/1996,M,738 Farmco Road,Rîbniţa,27,MD-5519,373-(995)285-4532
98,loTuj755,tgutierrez2p@exblog.jp,Y77zSn8,Thomas,Gutierrez,8/13/1947,M,913 East Drive,Sakon Nakhon,43,21110,66-(466)660-3682
99,sqmvl91,ekelley2q@themeforest.net,ka6zQ7U,Eugene,Kelley,10/27/1940,M,91714 Merchant Court,Santiago Puringla,12,,504-(607)514-4387
100,eQBsz678,ehayes2r@qq.com,FJkCdOpZNP,Emily,Hayes,5/2/2007,F,0342 Golf Course Place,Hendala,7,11830,94-(974)506-5267
101,Mwepd7880,jparker2s@deviantart.com,VMh5pJ8Qj,Joe,Parker,3/8/1998,M,2 Bellgrove Street,Puerto Deseado,9,9050,54-(632)620-8671
102,XVJda7540,hgordon2t@github.io,Mbc1sKuKcAjP,Harold,Gordon,6/10/1962,M,300 Spaight Parkway,Huolongmen,47,,86-(954)846-6206
103,UapdF750,ckim2u@dell.com,FPwxPxvZ9,Catherine,Kim,6/20/1982,F,80820 South Drive,Mutatá,4,057428,57-(208)579-9057
104,dSXNT8952,dgreene2v@goo.ne.jp,1fOOtjmEit,Donna,Greene,3/19/2007,F,69 Mallory Street,Miaotang,43,,86-(596)465-2210
105,rQWYW0136,amarshall2w@time.com,iI4pdesML,Anne,Marshall,6/13/1962,F,440 Bartelt Terrace,Pasonobenu,16,,62-(559)275-7280
106,hOpDJ32,sarmstrong2x@edublogs.org,pNaXpK,Susan,Armstrong,7/29/1978,F,19478 Walton Drive,Llama,6,,51-(621)692-0481
107,sPcid1502,dwood2y@auda.org.au,JOCKlrN,Diana,Wood,7/17/2006,F,6018 Dakota Hill,Tarusa,13,249111,7-(553)360-2069
108,syRlL8262,mgordon2z@gravatar.com,08ujVN5iJT,Michelle,Gordon,1/30/1968,F,8 Sundown Circle,Palu,48,,62-(970)463-9176
109,iEoXV664,pmartin30@ucla.edu,G3TUsPlGLd,Paula,Martin,9/8/1933,F,1 Lakewood Gardens Pass,Yunguyo,42,,51-(916)505-7069
110,BsdSC48,rknight31@joomla.org,TIFnUf,Raymond,Knight,5/19/1958,M,47 Service Trail,Timbiras,29,65420-000,55-(664)674-6358
111,aFgtZ0768,dbrown32@amazon.de,34cGjfcLh,Deborah,Brown,11/18/2005,F,26614 Kennedy Court,Songfeng,28,,86-(475)935-8178
112,Twmvo698,cmason33@mysql.com,2UT0UTjyBOvc,Carolyn,Mason,2/26/1927,F,3 Beilfuss Road,Ypacarai,26,,595-(734)298-9360
113,gvetO56,jrussell34@diigo.com,3OkArbkFw,Julia,Russell,4/21/1997,F,066 Annamark Park,Biyan,35,,62-(951)186-1861
114,NmJzn3182,sbryant35@arizona.edu,ufdiHruVK,Scott,Bryant,4/22/1955,M,669 Bay Junction,Pilluana,16,,51-(468)924-4290
115,rrHfH919,kfuller36@amazon.co.uk,AsQg5NEl1e,Kathy,Fuller,2/22/1993,F,8033 Southridge Junction,Rizal,49,7104,63-(657)841-2951
116,Uoazj6132,fwagner37@wp.com,qVvPFLMz6NOz,Frances,Wagner,10/15/1936,F,312 Haas Terrace,Stung Treng,12,,855-(706)696-6442
117,pjGqH856,tjohnson38@xing.com,3k3McWdRmt7m,Tina,Johnson,3/4/1973,F,50980 Graedel Crossing,Stockholm,22,103 83,46-(670)995-6534
118,xGBGc41,mmccoy39@ftc.gov,Tgcbfj97C,Mark,Mccoy,9/23/1991,M,464 Holy Cross Road,Yong’an,14,,86-(208)376-3333
119,voVEl40,cbaker3a@lycos.com,6oIOTGA8Cx5,Charles,Baker,10/27/1983,M,1 Clarendon Plaza,Laspezia,18,19139,39-(399)375-8223
120,ZfHKL476,sford3b@samsung.com,1p72wJ1U,Sara,Ford,5/14/1937,F,048 Porter Trail,Karangnunggal,10,,62-(563)968-0626
